Date,montoSpei,montoCodi,tc
7/1/2021,"408,256,667,069","3,751,131",19.725
8/1/2021,"400,602,672,596","4,884,955",19.91
9/1/2021,"6,586,525,415","2,907,629",N/E
10/1/2021,"3,037,974,480","3,318,271",N/E
11/1/2021,"422,703,047,290","5,809,859",19.9705
12/1/2021,"387,033,606,720","4,031,486",20.113
13/01/2021,"411,285,994,863","4,469,359",19.9373
14/01/2021,"443,938,345,633","5,099,070",19.7935
15/01/2021,"468,521,308,500","7,135,511",19.7793
16/01/2021,"8,157,907,484","3,490,507",N/E
17/01/2021,"3,499,825,778","2,291,774",N/E
18/01/2021,"471,753,510,619","4,433,155",19.7875
19/01/2021,"369,232,676,202","4,038,564",19.757
20/01/2021,"394,337,199,483","3,547,819",19.6788
21/01/2021,"392,030,293,519","3,472,712",19.5793
22/01/2021,"425,287,385,885","6,025,592",19.7393
23/01/2021,"6,520,567,139","2,694,309",N/E
24/01/2021,"2,722,344,776","1,862,992",N/E
25/01/2021,"428,764,786,040","3,609,676",19.9833
26/01/2021,"350,814,066,628","3,968,162",20.1598
27/01/2021,"414,799,130,577","3,756,769",20.0152
28/01/2021,"542,922,581,978","4,917,525",20.2168
29/01/2021,"622,155,335,107","8,072,763",20.2697
30/01/2021,"11,534,554,403","4,138,063",N/E
31/01/2021,"4,441,054,123","2,995,131",N/E
1/2/2021,"8,201,610,312","3,602,365",N/E
2/2/2021,"562,625,187,972","5,437,755",20.2248
3/2/2021,"402,416,730,932","5,007,994",20.1722
4/2/2021,"414,519,216,171","4,603,209",20.1953
5/2/2021,"394,310,969,325","4,571,653",20.4435
6/2/2021,"7,188,586,705","3,175,692",N/E
7/2/2021,"2,966,425,982","1,989,722",N/E
8/2/2021,"414,233,543,921","6,079,863",20.1388
9/2/2021,"371,369,852,674","4,711,132",20.1227
10/2/2021,"357,077,675,875","5,529,989",20.0913
11/2/2021,"419,189,178,971","4,833,589",20.0588
12/2/2021,"480,385,086,878","6,235,987",19.9535
13/02/2021,"8,249,305,908","4,468,852",N/E
14/02/2021,"3,407,005,326","2,310,264",N/E
15/02/2021,"470,923,918,721","6,778,062",19.9622
16/02/2021,"377,155,425,635","4,999,659",19.9518
17/02/2021,"416,570,703,670","5,082,058",20.2023
18/02/2021,"408,934,524,714","4,330,618",20.2257
19/02/2021,"395,683,783,088","4,164,042",20.4165
20/02/2021,"7,208,098,104","3,130,090",N/E
21/02/2021,"2,965,826,154","2,520,894",N/E
22/02/2021,"415,849,534,372","4,580,364",20.4222
23/02/2021,"382,937,785,076","4,493,661",20.6783
24/02/2021,"391,538,095,192","4,899,077",20.5833
25/02/2021,"536,851,630,244","5,651,613",20.4752
26/02/2021,"644,209,576,205","8,722,379",20.8523
27/02/2021,"12,832,810,143","5,243,910",N/E
28/02/2021,"5,195,143,006","3,767,849",N/E
1/3/2021,"519,510,479,149","6,931,389",20.939
2/3/2021,"378,526,985,443","5,257,772",20.6123
3/3/2021,"381,837,091,530","5,128,647",20.6903
4/3/2021,"417,582,654,241","5,553,894",20.8957
5/3/2021,"478,769,101,506","5,396,956",20.8498
6/3/2021,"7,497,604,784","3,542,502",N/E
7/3/2021,"3,088,113,401","2,043,452",N/E
8/3/2021,"457,532,029,718","5,914,387",21.2635
