Date,montoSpei,montoCodi,tc
1/8/2011,"266,473,050,883",,11.7425
2/8/2011,"226,380,948,082",,11.7514
3/8/2011,"229,329,345,422",,11.7657
4/8/2011,"226,897,349,550",,11.8473
5/8/2011,"249,043,619,057",,11.9523
6/8/2011,N/E,,N/E
7/8/2011,N/E,,N/E
8/8/2011,"254,285,920,517",,11.9794
9/8/2011,"242,534,603,915",,12.1845
10/8/2011,"232,203,483,940",,12.371
11/8/2011,"258,165,454,015",,12.3221
12/8/2011,"277,814,122,700",,12.3899
13/08/2011,N/E,,N/E
14/08/2011,N/E,,N/E
15/08/2011,"263,272,167,760",,12.2992
16/08/2011,"266,614,518,047",,12.2424
17/08/2011,"262,725,235,012",,12.2631
18/08/2011,"251,837,683,871",,12.1651
19/08/2011,"251,327,525,482",,12.3685
20/08/2011,"2,500",,N/E
21/08/2011,N/E,,N/E
22/08/2011,"253,748,967,245",,12.2386
23/08/2011,"274,227,931,688",,12.2948
24/08/2011,"237,120,986,519",,12.3357
25/08/2011,"269,867,172,741",,12.3952
26/08/2011,"303,495,642,928",,12.4259
27/08/2011,N/E,,N/E
28/08/2011,N/E,,N/E
29/08/2011,"279,826,044,898",,12.4953
30/08/2011,"294,836,458,505",,12.4148
31/08/2011,"353,241,611,441",,12.4838
1/9/2011,"268,345,889,277",,12.348
2/9/2011,"267,316,580,947",,12.2616
3/9/2011,N/E,,N/E
4/9/2011,N/E,,N/E
5/9/2011,"254,259,734,799",,12.3735
6/9/2011,"246,152,583,023",,12.5353
7/9/2011,"288,997,846,790",,12.5102
8/9/2011,"260,668,985,348",,12.4661
9/9/2011,"262,762,285,407",,12.4956
10/9/2011,N/E,,N/E
11/9/2011,N/E,,N/E
12/9/2011,"282,989,674,899",,12.6324
13/09/2011,"264,669,552,534",,12.7687
14/09/2011,"259,698,257,285",,12.8994
15/09/2011,"271,399,233,805",,12.9646
16/09/2011,N/E,,12.9127
17/09/2011,N/E,,N/E
18/09/2011,N/E,,N/E
19/09/2011,"304,681,736,237",,N/E
20/09/2011,"258,147,075,681",,13.186
21/09/2011,"258,071,901,813",,13.1669
22/09/2011,"257,947,315,370",,13.4045
23/09/2011,"312,908,332,327",,13.8917
24/09/2011,N/E,,N/E
25/09/2011,N/E,,N/E
26/09/2011,"329,843,249,040",,13.7788
27/09/2011,"307,364,204,623",,13.6677
28/09/2011,"312,354,349,396",,13.3414
29/09/2011,"355,227,558,843",,13.4217
30/09/2011,"362,584,858,075",,13.4567
1/10/2011,N/E,,N/E
2/10/2011,"7,400",,N/E
3/10/2011,"351,265,135,545",,13.7994
4/10/2011,"275,736,634,632",,13.8967
5/10/2011,"284,864,258,338",,13.9714
6/10/2011,"289,869,511,637",,13.6675
7/10/2011,"295,035,593,130",,13.5341
8/10/2011,N/E,,N/E
9/10/2011,N/E,,N/E
10/10/2011,"266,628,498,196",,13.3143
11/10/2011,"303,117,965,050",,13.2751
12/10/2011,"271,467,236,924",,13.3266
13/10/2011,"301,089,890,799",,13.2213
14/10/2011,"298,466,263,013",,13.3647
15/10/2011,N/E,,N/E
16/10/2011,N/E,,N/E
17/10/2011,"302,347,442,188",,13.2711
18/10/2011,"258,666,651,508",,13.2952
19/10/2011,"272,242,158,369",,13.4445
20/10/2011,"340,007,009,408",,13.3733
21/10/2011,"304,361,481,072",,13.6628
22/10/2011,N/E,,N/E
23/10/2011,N/E,,N/E
24/10/2011,"306,425,577,950",,13.5996
25/10/2011,"282,216,174,272",,13.4889
26/10/2011,"303,350,399,915",,13.4459
27/10/2011,"327,179,447,255",,13.4914
28/10/2011,"310,028,419,468",,13.1973
29/10/2011,N/E,,N/E
30/10/2011,N/E,,N/E
31/10/2011,"357,200,281,335",,13.1132
1/11/2011,"289,646,564,687",,13.1802
2/11/2011,N/E,,13.6282
3/11/2011,"274,989,943,597",,N/E
4/11/2011,"299,852,088,407",,13.4128
5/11/2011,N/E,,N/E
6/11/2011,N/E,,N/E
7/11/2011,"302,734,807,321",,13.4698
8/11/2011,"297,536,988,692",,13.4504
9/11/2011,"298,922,880,019",,13.3852
10/11/2011,"296,288,871,212",,13.5252
11/11/2011,"267,279,081,817",,13.5622
12/11/2011,N/E,,N/E
13/11/2011,N/E,,N/E
14/11/2011,"292,367,514,189",,13.4165
15/11/2011,"275,744,228,890",,13.5122
16/11/2011,"266,298,677,103",,13.5672
17/11/2011,"275,180,960,023",,13.5847
18/11/2011,"266,266,227,670",,13.6375
19/11/2011,N/E,,N/E
20/11/2011,N/E,,N/E
21/11/2011,N/E,,13.7033
